"Status","Life.expectancy","Total.expenditure","Population.And.Infant.Mortality","Chronic.Dieseases","Thinness","Personal.Factors","Economic.Factors","Adult.Factors"
2,75.9,6.1,-0.0694895535486269,0.658649695653367,-0.703607595553106,-0.401241970383465,-0.504846210499026,-0.899422158690457
2,74.2,5.86,-0.0943514655774966,0.629522400540458,-0.740370814907234,-0.400706693208339,-0.499088872008199,-0.504241862365798
2,73.5,6.12,-0.0818546643668251,0.667321975959005,-0.717726060614111,-0.648067309829038,-0.462493772404559,-0.898419975172021
2,73,6.38,-0.0871816521588056,0.645438211168201,-0.684476284500267,-0.649350605841018,-0.332815638708019,-0.894467639930639
2,72.8,6.27,-0.0943374954133448,0.631066777591137,-0.679808835652,-0.688355047479854,-0.457536285319435,-0.901833824817573
2,73.3,6.3,-0.098130364890103,0.676603797137846,-0.638685969238793,-0.725952178791989,-0.382012942379082,-0.921046258410779
2,73.6,6,-0.0980477996175956,0.631029435164828,-0.638802916667102,-0.747033438838922,-0.381662181505261,-0.921007734876175
2,72.6,6.26,-0.099974672882516,0.628199794627799,-0.617162135636617,-0.734249095046761,-0.390300300149711,-0.933202022418354
2,75.6,7.21,-0.119221948834287,0.459436420511179,0.538628945140555,0.713579525353717,-0.45526946318439,-0.498834679776994
2,75.4,7.21,-0.111823229899045,0.465337057656817,0.509677972303457,0.715817713410679,-0.553500264608623,-0.466821170637152
2,75.3,7.12,-0.105464252386594,0.452189795636147,0.528489882214178,0.653387411971208,-0.235625423837571,-0.505451278043469
2,75.1,6.14,-0.104905620169193,0.449721170415595,0.539706492722588,0.628103800360288,-0.222704936425433,-0.516369871615941
2,74.9,5.29,-0.109416222615769,0.463990740539011,0.527741984492392,0.489466064351508,-0.216466791362421,-0.538275112003583
2,74.7,5.12,-0.11045657540549,0.483643787649369,0.498581299727161,0.366487753612859,-0.250197001952815,-0.537207182585986
2,74.4,5.36,-0.12409552641739,0.495456175284525,0.486576372039577,0.229320902232825,-0.264812700618769,-0.519312597039555
2,74.1,4.2,-0.138378036861044,0.389751245077368,0.454466002992665,0.121851306513217,-0.445437751663494,-0.564693223640594
2,73.8,3.82,-0.13272497909129,0.529648594890975,0.461540855416271,-0.0434937474222418,-0.222811673692585,-0.553734635371752
2,73.4,3.36,-0.139981790099161,0.529785013408583,0.492886002716917,-0.0459015776926613,-0.249272266230328,-0.551721671024211
2,72.9,3.24,-0.184188212139875,0.103761370295834,0.456648482598948,-0.00029851885971548,-0.43670377081138,-0.58563928292777
2,72.3,3.54,-0.19824447269152,-0.00249767607058987,0.480314349999243,-0.0986729690704965,-0.266218720221765,-0.644343989315241
2,71.7,3.6,-0.165151841702746,0.171659992400328,0.436480234540842,-0.17562248914961,-0.391497555302031,-0.53004869217767
2,71.6,3.73,-0.185624135948058,0.0544256279911175,0.449367145015742,-0.283699224075511,-0.277800102613858,-0.563157996226236
2,71.4,3.84,-0.187902500893641,0.217583571181964,0.459838792028996,-0.368164304015133,-0.265413787169884,-0.536048612506035
2,71.3,3.49,-0.179635951611259,0.127801508346063,0.462757666372861,-0.422139818643773,-0.252517041283535,-0.553872173071996
2,52.4,4.54,0.0367625075312182,-1.96493429436173,0.534104937632356,0.416790027218382,-0.18634500595292,0.746107827493373
2,51.7,3.31,0.0983518483637224,-0.99769164070964,0.599117048819727,0.29570927341599,-0.265604508518751,0.863996921511796
2,51.1,4.26,0.154885858966629,-0.418599108943235,0.600357867454299,0.17097002567373,-0.245837399429276,1.04261322376846
2,56,3.3,0.158373558858176,-0.346379095178184,0.600170702072157,-0.172689831378974,0.0173426458960918,1.0131665053845
2,51,3.38,0.147330127471248,-0.51852865262297,0.576680512552011,-0.368107811146158,0.042570741462891,0.972111408615752
2,49.6,3.39,0.186766891018676,-0.107370950461238,0.59291384786274,-0.570632108455975,0.0381199910697925,1.04021654571621
2,49.1,4.37,-0.0335754114143603,-3.17924791023237,0.589089857065324,0.0630820394756322,-0.0182678252326563,0.609268419272275
2,48.7,3.84,0.153142650990938,-0.665289469494351,0.609719014106298,-0.695057616710477,0.113046187361177,1.00086229347348
2,48.2,3.38,0.185686383274555,-0.309412294663637,0.628816356427305,-0.89685496050667,0.0924657456273932,1.01531360751938
2,47.7,4.54,0.0563101269881735,-2.42869277291284,0.564417676505085,-0.535063248519274,-0.0641665539239591,0.798862550093206
2,47.4,4.1,0.173885394100846,-2.33581070716297,-0.323643292173006,-0.848327109409733,-0.0462467700487674,0.793632512867506
2,47.1,4.71,0.334211421353957,-4.17422805948599,-1.83047100166029,-0.999822426585516,-0.214439152400483,0.570862659575238
2,46.8,4.41,0.318100311007461,-4.18276498217959,-1.79814129706681,-1.1444033245349,-0.151302370223092,0.551766466339773
